Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Segl-Maria
Altitude [m asl]:         1804 m
Coordinates:              46° 25.9' N / 9° 45.7' E

Reference date of homogenization:
         Temperature:     01.12.2007
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.08.2017


Year  Month        Temperature      Precipitation  
1922      7                9.0              148.7  
1922      8               10.7              133.9  
1922      9                5.5              140.3  
1922     10                2.2               82.3  
1922     11               -4.2               24.9  
1922     12               -6.2              148.0  
1923      1               -8.1               12.9  
1923      2               -5.0               15.2  
1923      3               -4.4               15.7  
1923      4               -0.3               72.1  
1923      5                4.3              109.0  
1923      6                5.4               62.3  
1923      7               12.1               73.8  
1923      8               11.6               97.0  
1923      9                7.0               83.5  
1923     10                4.5              142.9  
1923     11               -1.3              132.0  
1923     12               -7.1               92.9  
1924      1               -8.7               35.7  
1924      2               -9.1               29.5  
1924      3               -4.3               45.0  
1924      4                0.3               68.7  
1924      5                6.4              125.4  
1924      6                8.8              136.0  
1924      7               10.9               94.8  
1924      8                8.1              165.3  
1924      9                8.0              160.9  
1924     10                3.0               44.5  
1924     11               -1.3                5.6  
1924     12               -6.4               64.2  
1925      1               -6.2               15.6  
1925      2               -6.0              151.2  
1925      3               -6.9               46.7  
1925      4               -0.6               70.7  
1925      5                4.0               53.5  
1925      6                9.5               24.6  
1925      7                9.8              140.8  
1925      8               10.0              110.8  
1925      9                5.6               81.1  
1925     10                4.1               58.7  
1925     11               -3.0               59.7  
1925     12               -7.7               60.2  
1926      1               -8.1               42.0  
1926      2               -2.8              113.7  
1926      3               -2.5               65.0  
1926      4               -0.3              135.9  
1926      5                2.6              193.3  
1926      6                5.9              120.3  
1926      7                9.8               41.4  
1926      8               10.6               54.2  
1926      9                9.7               52.7  
1926     10                3.9              262.4  
1926     11                0.8              230.6  
1926     12               -6.0               11.8  
1927      1               -6.5               99.7  
1927      2               -7.5               36.0  
1927      3               -4.3              119.4  
1927      4                0.7               71.7  
1927      5                5.3               25.8  
1927      6                8.5              136.3  
1927      7               10.4              107.8  
1927      8               10.3              182.2  
1927      9                8.1              181.8  
1927     10                3.0               36.9  
1927     11               -0.6              184.1  
1927     12               -5.4               29.8  
1928      1               -7.1               48.0  
1928      2               -6.1               30.7  
1928      3               -3.2               75.6  
1928      4               -0.2              117.6  
1928      5                2.0              123.4  
1928      6                8.4               58.0  
1928      7               12.8               55.1  
1928      8               12.2              188.6  
1928      9                7.9               47.0  
1928     10                3.1              167.1  
1928     11               -1.2               96.1  
1928     12               -6.9               18.1  
1929      1              -11.6                9.5  
1929      2              -11.7                3.8  
1929      3               -3.8                0.6  
1929      4               -2.0               77.0  
1929      5                5.0               39.4  
1929      6                9.9              102.0  
1929      7               11.5               75.6  
1929      8               10.6              194.7  
1929      9                9.5               20.1  
1929     10                3.4               79.3  
1929     11               -2.3               55.9  
1929     12               -4.6               80.5  
1930      1               -4.9               18.6  
1930      2               -9.1               19.5  
1930      3               -3.7               74.1  
1930      4                0.1               91.4  
1930      5                3.4               66.8  
1930      6                9.9               52.1  
1930      7                9.7              118.8  
1930      8                9.8              114.8  
1930      9                8.1               92.2  
1930     10                2.6               37.4  
1930     11                0.8               47.1  
1930     12               -5.7               31.3  
1931      1               -8.5               49.5  
1931      2               -8.5              126.9  
1931      3               -5.0               39.9  
1931      4               -1.1               57.5  
1931      5                5.7              147.0  
1931      6               10.7              105.4  
1931      7               10.2              160.1  
1931      8                9.2              160.7  
1931      9                4.3               88.5  
1931     10                3.0               65.0  
1931     11               -0.1               89.2  
1931     12               -7.6               20.4  
1932      1               -6.0               23.8  
1932      2              -10.7                4.3  
1932      3               -5.4               23.1  
1932      4               -2.5               82.2  
1932      5                3.4              125.3  
1932      6                7.4              100.2  
1932      7               10.1              103.0  
1932      8               12.4               45.9  
1932      9               10.8              106.7  
1932     10                2.0               95.7  
1932     11               -1.1               22.0  
1932     12               -5.1               22.1  
1933      1               -9.5               38.9  
1933      2               -7.1               13.9  
1933      3               -4.0               46.3  
1933      4                0.6               26.8  
1933      5                3.6               89.0  
1933      6                6.0              136.6  
1933      7               10.9               99.7  
1933      8               11.0               70.4  
1933      9                7.9               65.7  
1933     10                2.2              183.5  
1933     11               -3.2              101.4  
1933     12               -8.4               22.6  
1934      1               -8.5                9.0  
1934      2               -6.1               32.3  
1934      3               -3.7              125.6  
1934      4                1.2               95.6  
1934      5                6.8               55.0  
1934      6                8.2              104.7  
1934      7               11.3               96.2  
1934      8                9.3              197.4  
1934      9                8.5               30.0  
